频道,#genre#
电视指南,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000032/index.m3u8?   
央视文化精品,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000030/index.m3u8?   
高尔夫网球,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000162/index.m3u8?     
纪实人文,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000079/index.m3u8?
北京纪实科教,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000015/index.m3u8?   
都市剧场,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000110/index.m3u8?   
东方财经,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000122/index.m3u8?   
魅力足球,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000126/index.m3u8?
山西影视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000130/index.m3u8?
山西文体生活,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000132/index.m3u8?
山西经济,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000129/index.m3u8?
山西社会与法治,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000131/index.m3u8?
山西黄河,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000128/index.m3u8?
CCTV1,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226032/index.m3u8?
CCTV1,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000104/index.m3u8?
CCTV2,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226217/index.m3u8?
CCTV2,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000003/index.m3u8?
CCTV3,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225885/index.m3u8?
CCTV3,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000148/index.m3u8? 
CCTV4,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225958/index.m3u8?
CCTV4,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000011/index.m3u8?
CCTV5,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226088/index.m3u8?
CCTV5,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000149/index.m3u8? 
CCTV5+,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226199/index.m3u8?
CCTV5+,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000012/index.m3u8?
CCTV6,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225826/index.m3u8?
CCTV6,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000150/index.m3u8?
CCTV7,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226035/index.m3u8?
CCTV8,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225888/index.m3u8?
CCTV8,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000151/index.m3u8?
CCTV9,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225961/index.m3u8?
CCTV9,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000009/index.m3u8? 
CCTV10,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226220/index.m3u8?
CCTV10,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000059/index.m3u8? 
CCTV11,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225703/index.m3u8?
CCTV12,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225771/index.m3u8?
CCTV12,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000062/index.m3u8?
CCTV13,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226041/index.m3u8?
CCTV13,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000083/index.m3u8?
CCTV14,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225974/index.m3u8?
CCTV14,http://[2409:8087:c18:21::2:11]:6610/040000001000/35100001000000060000000000000064/index.m3u8?
CCTV15,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225971/index.m3u8?
CCTV16,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225949/index.m3u8?
